name,team_name,high_5s,player_team,super_10s,super_raids,super_tackles,total_defending_points,total_raid_points,red_cards,raid_bonus_points,success_tackles,defence_touch_points,defending_bonus_points,raid_touch_points,unsuccesful_tackles,success_raid_percent,empty_raid,tackle_success_rate,raids,match_player,tackles,points,raid_points_per_match,not_out_percentage,success_tackles_per_match,career_best_points,raid_map_locations,location,tackle_bonus_points,role,unsuccess_raids,success_raids,total_tackle_points,yellow_cards,green_cards,points_per_match_raid_tackle,points_defence_offence
Rakesh,Gujarat Giants,0,0,12,7,0,2,271,0,66,2,2,0,205,22,38,227,8.0,568,39,24,273,6.95,77.82,0.05,0,,,0,,126,215,2,0,0,7.0,273
Prince D,Telugu Titans,0,0,0,0,3,15,3,0,1,12,12,0,2,52,12,11,19.0,17,23,64,18,0.13,76.47,0.65,0,,,0,,4,2,15,0,0,0.78,18
Himanshu Narwal,Tamil Thalaivas,0,0,0,0,0,0,6,0,4,0,0,0,2,0,30,3,0.0,10,3,0,6,2.0,60.0,0.0,0,,,0,,4,3,0,0,0,2.0,6
Durgesh Kumar,U.P. Yoddhas,0,0,0,1,0,3,16,0,4,3,3,0,12,4,24,9,43.0,29,10,7,19,1.6,55.17,0.3,0,,,0,,13,7,3,0,0,1.9,19
Monu,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Mohit Goyat,Puneri Paltan,1,0,12,6,4,45,279,0,27,41,41,0,252,40,41,228,51.0,562,38,81,324,7.34,81.85,1.18,0,,,0,,102,232,45,0,0,8.53,324
Shivansh Thakur,U Mumba,1,0,0,0,2,9,0,0,0,7,7,0,0,11,0,6,39.0,6,6,18,9,0.0,100.0,1.5,0,,,0,,0,0,9,0,0,1.5,9
Nitin Chandel,Jaipur Pink Panthers,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,14.000000000000002,0,3,7,1,0.0,0.0,0.33,0,,,0,,0,0,1,0,0,0.33,1
Sager Kumar,Patna Pirates,1,0,0,0,0,7,0,0,0,7,7,0,0,1,0,0,88.0,0,1,8,7,0.0,0.0,7.0,0,,,0,,0,0,7,0,0,7.0,7
Tejas Patil,Dabang Delhi K.C.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,2,0.0,4,2,0,1,0.5,75.0,0.0,0,,,0,,1,1,0,0,0,0.5,1
D MahindraPrasad,Puneri Paltan,0,0,0,0,0,0,1,0,0,0,0,0,1,2,17,2,0.0,6,1,2,1,1.0,50.0,0.0,0,,,0,,3,1,0,0,0,1.0,1
Lovepreet Singh,Haryana Steelers,0,0,0,0,0,2,7,0,0,2,2,0,7,2,40,1,50.0,15,3,4,9,2.33,46.67,0.67,0,,,0,,8,6,2,0,0,3.0,9
Sushil,Haryana Steelers,0,0,1,0,0,0,17,0,4,0,0,0,13,3,56,6,0.0,27,5,3,17,3.4,77.78,0.0,0,,,0,,6,15,0,0,0,3.4,17
Meetu Sharma,Haryana Steelers,0,0,8,4,1,2,210,0,45,1,1,0,165,4,34,212,20.0,510,36,5,212,5.83,75.29,0.06,0,,,0,,126,172,2,0,0,5.89,212
Jaideep Dahiya,Haryana Steelers,9,0,0,0,10,120,3,0,2,110,110,0,1,121,6,13,48.0,18,43,231,123,0.07,77.78,2.79,0,,,0,,4,1,120,0,7,2.86,123
Rahul Sethpal,U Mumba,2,0,0,0,8,50,12,0,8,42,42,0,4,68,13,33,38.0,46,33,110,62,0.36,84.78,1.52,0,,,0,,7,6,50,0,1,1.88,62
Abinesh Nadarajan,Puneri Paltan,4,0,0,0,8,78,5,0,2,70,70,0,3,113,18,7,38.0,11,37,183,83,0.14,81.82,2.11,0,,,0,,2,2,78,0,4,2.24,83
Sakthivel R,Bengal Warriors,0,0,0,0,0,5,0,0,0,5,5,0,0,11,0,0,31.0,0,7,16,5,0.0,0.0,0.71,0,,,0,,0,0,5,0,0,0.71,5
K. Abhimanyu,Tamil Thalaivas,0,0,0,0,0,1,2,0,0,1,1,0,2,6,33,2,14.000000000000002,3,6,7,3,0.33,100.0,0.17,0,,,0,,0,1,1,0,0,0.5,3
Rohit Tomar,U.P. Yoddhas,1,0,1,1,3,18,85,0,36,15,15,0,49,31,34,97,33.0,206,23,46,103,3.7,81.07,0.78,0,,,0,,39,70,18,0,0,4.48,103
Arpit Saroha,Tamil Thalaivas,1,0,0,0,3,14,0,0,0,11,11,0,0,14,0,0,44.0,0,8,25,14,0.0,0.0,1.75,0,,,0,,0,0,14,0,0,1.75,14
Shubham Kumar,U.P. Yoddhas,0,0,0,0,4,37,1,0,1,33,33,0,0,82,0,0,28.999999999999996,1,32,115,38,0.03,0.0,1.16,0,,,0,,1,0,37,0,2,1.19,38
Akash Pikalmunde,Bengal Warriors,0,0,1,0,0,2,28,0,10,2,2,0,18,3,32,20,40.0,53,10,5,30,2.8,69.81,0.2,0,,,0,,16,17,2,0,0,3.0,30
Manuj,Gujarat Giants,0,0,0,0,0,11,0,0,0,11,11,0,0,23,0,0,32.0,0,11,34,11,0.0,0.0,1.0,0,,,0,,0,0,11,0,0,1.0,11
Rohit,Bengal Warriors,0,0,0,1,1,6,28,0,10,5,5,0,18,11,38,18,31.0,45,15,16,34,1.87,77.78,0.4,0,,,0,,10,17,6,0,1,2.27,34
Kapil,Gujarat Giants,0,0,0,0,0,9,0,0,0,9,9,0,0,16,0,0,36.0,0,7,25,9,0.0,0.0,1.29,0,,,0,,0,0,9,0,0,1.29,9
Vishwas S,Puneri Paltan,0,0,0,0,0,1,19,0,8,1,1,0,11,2,30,17,33.0,47,8,3,20,2.38,65.96,0.12,0,,,0,,16,14,1,0,0,2.5,20
