name,team_name,high_5s,player_team,super_10s,super_raids,super_tackles,total_defending_points,total_raid_points,red_cards,raid_bonus_points,success_tackles,defence_touch_points,defending_bonus_points,raid_touch_points,unsuccesful_tackles,success_raid_percent,empty_raid,tackle_success_rate,raids,match_player,tackles,points,raid_points_per_match,not_out_percentage,success_tackles_per_match,career_best_points,raid_map_locations,location,tackle_bonus_points,role,unsuccess_raids,success_raids,total_tackle_points,yellow_cards,green_cards,points_per_match_raid_tackle,points_defence_offence
Aslam Inamdar,Puneri Paltan,0,0,9,7,1,32,307,0,97,31,31,0,210,54,41,267,36.0,623,40,85,339,7.68,83.47,0.8,0,,,0,,103,253,32,0,0,8.48,339
Shubham Shelke,Puneri Paltan,0,0,0,0,0,0,3,0,1,0,0,0,2,1,13,6,0.0,15,6,1,3,0.5,53.33,0.0,0,,,0,,7,2,0,0,0,0.5,3
Aashish,Tamil Thalaivas,0,0,0,0,2,11,1,0,0,9,9,0,1,21,50,1,30.0,2,9,30,12,0.11,100.0,1.22,0,,,0,,0,1,11,0,0,1.33,12
Himanshu Singh,Tamil Thalaivas,0,0,1,3,1,6,52,0,20,5,5,0,32,16,26,53,24.0,118,24,21,58,2.17,71.19,0.25,0,,,0,,34,31,6,0,0,2.42,58
Mohit,Tamil Thalaivas,1,0,0,0,1,56,2,0,0,55,55,0,2,111,10,13,33.0,20,42,166,58,0.05,75.0,1.33,0,,,0,,5,2,56,0,1,1.38,58
Sahil Gulia,Tamil Thalaivas,2,0,0,0,4,87,0,0,0,83,83,0,0,117,0,0,42.0,0,41,200,87,0.0,0.0,2.12,0,,,0,,0,0,87,0,0,2.12,87
Muhammed Shihas,Telugu Titans,2,0,0,0,3,15,3,0,2,12,12,0,1,44,8,8,21.0,13,14,56,18,0.21,69.23,1.07,0,,,0,,4,1,15,0,1,1.29,18
Palla Ramakrishna,Telugu Titans,0,0,0,0,0,2,1,0,1,2,2,0,0,6,0,0,25.0,1,3,8,3,0.33,0.0,0.67,0,,,0,,1,0,2,0,1,1.0,3
Kamlesh,U Mumba,0,0,0,0,0,0,10,0,6,0,0,0,4,0,23,2,0.0,13,6,0,10,1.67,38.46,0.0,0,,,0,,8,3,0,0,0,1.67,10
Prince,U Mumba,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,33.0,0,3,3,1,0.0,0.0,0.33,0,,,0,,0,0,1,0,0,0.33,1
Shivam,U Mumba,0,0,0,0,2,6,41,0,12,4,4,0,29,11,39,27,27.0,83,20,15,47,2.05,71.08,0.3,0,,,0,,24,32,6,0,0,2.35,47
Aman,U.P. Yoddhas,0,0,0,0,0,1,4,0,0,1,1,0,4,1,25,8,50.0,16,4,2,5,1.0,75.0,0.25,0,,,0,,4,4,1,0,0,1.25,5
Aman,Bengaluru Bulls,4,0,0,0,5,113,1,0,1,108,108,0,0,134,0,2,45.0,3,47,242,114,0.02,66.67,2.4,0,,,0,,1,0,113,0,2,2.43,114
Sawin,Gujarat Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Ankit,Haryana Steelers,0,0,0,0,0,4,0,0,0,4,4,0,0,16,0,0,20.0,0,6,20,4,0.0,0.0,0.67,0,,,0,,0,0,4,0,0,0.67,4
Balaji D,Patna Pirates,0,0,0,0,1,26,0,0,0,25,25,0,0,53,0,1,32.0,1,19,78,26,0.0,100.0,1.37,0,,,0,,0,0,26,0,0,1.37,26
Jai Bhagwan,U Mumba,0,0,1,4,2,7,75,0,26,5,5,0,49,10,31,67,33.0,163,19,15,82,3.95,71.78,0.37,0,,,0,,46,50,7,0,0,4.32,82
Md. Arif Rabbani,Tamil Thalaivas,0,0,0,0,1,3,0,0,0,2,2,0,0,3,0,1,40.0,2,2,5,3,0.0,50.0,1.5,0,,,0,,1,0,3,0,0,1.5,3
Md. Liton Ali,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Thanushan Laxmamohan,Tamil Thalaivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Gholamabbas Korouki,U Mumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Heidarali Ekrami,U Mumba,0,0,0,2,1,2,32,0,9,1,1,0,23,2,33,22,33.0,64,12,3,34,2.67,67.19,0.17,0,,,0,,21,21,2,0,0,2.83,34
Mohammad Ghorbani,Gujarat Giants,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,100.0,1,1,1,1,0.0,100.0,1.0,0,,,0,,0,0,1,0,0,1.0,1
Reza Katoulinezhad,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Reza Mirbagheri,Jaipur Pink Panthers,2,0,0,0,1,36,0,0,0,35,35,0,0,35,0,0,50.0,0,16,70,36,0.0,0.0,2.25,0,,,0,,0,0,36,0,0,2.25,36
Woosan Ko,Jaipur Pink Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Mohit,U Mumba,1,0,0,0,6,44,0,0,0,38,38,0,0,50,0,0,43.0,0,20,88,44,0.0,0.0,2.2,0,,,0,,0,0,44,0,0,2.2,44
Shivam Chaudhary,Patna Pirates,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,2,3,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Kiran Magar,U Mumba,0,0,0,0,3,21,0,0,0,18,18,0,0,27,0,0,40.0,0,16,45,21,0.0,0.0,1.31,0,,,0,,0,0,21,0,0,1.31,21
Shankar Gadai,Gujarat Giants,0,0,0,0,0,21,4,0,0,21,21,0,4,44,36,7,32.0,11,20,65,25,0.2,100.0,1.05,0,,,0,,0,4,21,0,0,1.25,25
Lucky Sharma,Jaipur Pink Panthers,1,0,0,0,3,11,0,0,0,8,8,0,0,10,0,0,44.0,1,15,18,11,0.0,0.0,0.73,0,,,0,,1,0,11,0,0,0.73,11
Visvanath V,Tamil Thalaivas,0,0,0,0,3,8,13,0,1,5,5,0,12,13,29,16,28.000000000000004,34,11,18,21,1.18,76.47,0.73,0,,,0,,8,10,8,0,0,1.91,21
Alankar Patil,Puneri Paltan,0,0,0,0,0,3,0,0,0,3,3,0,0,6,0,0,33.0,0,3,9,3,0.0,0.0,1.0,0,,,0,,0,0,3,0,0,1.0,3
Rakesh Ram,Puneri Paltan,0,0,0,0,0,1,1,0,1,1,1,0,0,13,0,2,7.000000000000001,3,8,14,2,0.12,66.67,0.12,0,,,0,,1,0,1,0,0,0.25,2
Navneet,Haryana Steelers,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,1,3,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Manish Gulia,Haryana Steelers,0,0,0,1,0,1,13,0,3,1,1,0,10,0,45,3,100.0,20,4,1,14,3.25,60.0,0.25,0,,,0,,8,9,1,0,0,3.5,14
Akshay Jaywant Bodake,Patna Pirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Rahul Dhanawade,Jaipur Pink Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,1,0,0.0,0.0,0.0,0,,,0,,1,0,0,0,0,0.0,0
Sumit,Telugu Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Harsh Lad,Puneri Paltan,0,0,0,0,1,4,0,0,0,3,3,0,0,3,0,0,50.0,0,1,6,4,0.0,0.0,4.0,0,,,0,,0,0,4,0,0,4.0,4
Naveen Sharma,Patna Pirates,0,0,0,0,1,4,1,0,1,3,3,0,0,10,0,0,23.0,1,8,13,5,0.12,0.0,0.5,0,,,0,,1,0,4,0,0,0.62,5
Ranjit Naik,Patna Pirates,0,0,0,0,0,2,15,0,2,2,2,0,13,2,33,11,50.0,33,7,4,17,2.14,66.67,0.29,0,,,0,,11,11,2,0,0,2.43,17
Thiyagarajan Yuvaraj,Patna Pirates,0,0,0,0,0,5,0,0,0,5,5,0,0,8,0,0,38.0,0,3,13,5,0.0,0.0,1.67,0,,,0,,0,0,5,0,0,1.67,5
Narender,Tamil Thalaivas,0,0,15,4,0,6,243,0,70,6,6,0,173,10,48,116,38.0,405,23,16,249,10.57,76.79,0.26,0,,,0,,94,195,6,0,0,10.83,249
Vinay,Telugu Titans,0,0,0,1,1,4,38,0,16,3,3,0,22,10,27,42,23.0,95,15,13,42,2.53,71.58,0.27,0,,,0,,27,26,4,0,0,2.8,42
Vijay Kumar,Dabang Delhi K.C.,0,0,0,0,2,19,0,0,0,17,17,0,0,46,0,0,27.0,0,18,63,19,0.0,0.0,1.06,0,,,0,,0,0,19,0,0,1.06,19
Parshant Kumar,Bengal Warriors,0,0,0,0,0,0,2,0,1,0,0,0,1,0,18,5,0.0,11,1,0,2,2.0,63.64,0.0,0,,,0,,4,2,0,0,0,2.0,2
Rajnesh,Bengaluru Bulls,0,0,0,0,1,2,0,0,0,1,1,0,0,12,0,0,8.0,0,5,13,2,0.0,0.0,0.4,0,,,0,,0,0,2,0,0,0.4,2
Yash Hooda,Bengaluru Bulls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Ashish Narwal,Dabang Delhi K.C.,0,0,0,0,0,0,10,0,3,0,0,0,7,0,30,6,0.0,20,7,0,10,1.43,60.0,0.0,0,,,0,,8,6,0,0,0,1.43,10
Monu Hooda,Haryana Steelers,1,0,0,0,1,17,0,0,0,16,16,0,0,18,0,0,47.0,0,14,34,17,0.0,0.0,1.21,0,,,0,,0,0,17,0,0,1.21,17
Naveen Kundu,Haryana Steelers,1,0,0,0,0,9,0,0,0,9,9,0,0,5,0,0,64.0,0,2,14,9,0.0,0.0,4.5,0,,,0,,0,0,9,0,0,4.5,9
Harsh,Haryana Steelers,0,0,0,0,0,5,0,0,0,5,5,0,0,6,0,0,45.0,1,5,11,5,0.0,0.0,1.0,0,,,0,,1,0,5,0,0,1.0,5
Sunny Sehrawat,Haryana Steelers,1,0,0,0,1,9,0,0,0,8,8,0,0,16,0,0,33.0,0,6,24,9,0.0,0.0,1.5,0,,,0,,0,0,9,0,0,1.5,9
Ashish,Jaipur Pink Panthers,0,0,0,0,0,1,0,0,0,1,1,0,0,5,0,0,17.0,0,4,6,1,0.0,0.0,0.25,0,,,0,,0,0,1,0,0,0.25,1
Devank,Jaipur Pink Panthers,0,0,0,0,0,0,4,0,3,0,0,0,1,0,18,3,0.0,11,5,0,4,0.8,45.45,0.0,0,,,0,,6,2,0,0,0,0.8,4
Anuj Kumar,Patna Pirates,0,0,0,0,0,0,12,0,7,0,0,0,5,2,19,15,0.0,37,5,2,12,2.4,59.46,0.0,0,,,0,,15,7,0,0,0,2.4,12
Badal Singh,Puneri Paltan,0,0,0,0,1,7,0,0,0,6,6,0,0,5,0,0,55.00000000000001,1,12,11,7,0.0,0.0,0.58,0,,,0,,1,0,7,0,0,0.58,7
Mohit Pahal,Telugu Titans,0,0,0,0,2,6,1,0,1,4,4,0,0,5,0,0,44.0,2,3,9,7,0.33,0.0,2.0,0,,,0,,2,0,6,0,0,2.33,7
Mohit,Telugu Titans,0,0,0,0,0,3,0,0,0,3,3,0,0,11,0,0,21.0,0,5,14,3,0.0,0.0,0.6,0,,,0,,0,0,3,0,0,0.6,3
Nitin,Telugu Titans,0,0,0,0,1,4,1,0,1,3,3,0,0,23,0,0,12.0,1,8,26,5,0.12,0.0,0.5,0,,,0,,1,0,4,0,0,0.62,5
Rupesh,U Mumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,1,0,0,0.0,50.0,0.0,0,,,0,,1,0,0,0,0,0.0,0
Abhishek KS,Jaipur Pink Panthers,1,0,0,0,2,25,0,0,0,23,23,0,0,52,0,0,31.0,0,18,75,25,0.0,0.0,1.39,0,,,0,,0,0,25,0,0,1.39,25
Vaibhav Garje,Bengal Warriors,1,0,0,0,1,30,1,0,1,29,29,0,0,54,0,0,35.0,1,18,83,31,0.06,0.0,1.67,0,,,0,,1,0,30,0,0,1.72,31
Suyog Gaikar,Bengal Warriors,0,0,0,0,0,0,3,0,0,0,0,0,3,3,27,3,0.0,11,2,3,3,1.5,54.55,0.0,0,,,0,,5,3,0,0,0,1.5,3
Aditya Shinde,Puneri Paltan,0,0,1,1,0,0,20,0,7,0,0,0,13,2,42,6,0.0,31,6,2,20,3.33,61.29,0.0,0,,,0,,12,13,0,0,0,3.33,20
Pranay Rane,U Mumba,0,0,1,0,0,1,25,0,5,1,1,0,20,3,43,8,25.0,47,11,4,26,2.27,59.57,0.09,0,,,0,,19,20,1,0,0,2.36,26
Mahipal,U.P. Yoddhas,0,0,0,1,0,0,11,0,5,0,0,0,6,2,31,8,0.0,26,5,2,11,2.2,61.54,0.0,0,,,0,,10,8,0,0,0,2.2,11
Sachin,U Mumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,0.0,0.0,0,,,0,,1,0,0,0,0,0.0,0
R Guhan,Bengal Warriors,0,0,0,0,0,0,6,0,1,0,0,0,5,0,43,2,0.0,14,3,0,6,2.0,57.14,0.0,0,,,0,,6,6,0,0,0,2.0,6
Anil Kumar,U.P. Yoddhas,0,0,0,1,0,1,17,0,3,1,1,0,14,1,31,15,50.0,39,7,2,18,2.43,69.23,0.14,0,,,0,,12,12,1,0,0,2.57,18
Rohan Singh,Gujarat Giants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0.0,0.0,0.0,0,,,0,,1,0,0,0,0,0.0,0
Suraj Panwar,Dabang Delhi K.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Parteek Dahiya,Gujarat Giants,0,0,11,4,0,5,178,0,27,5,5,0,151,28,52,61,15.0,240,19,33,183,9.37,77.08,0.26,0,,,0,,55,124,5,0,0,9.63,183
Marimuthu Kamaraj,Jaipur Pink Panthers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,,,0,,0,0,0,0,0,0.0,0
Gaurav Khatri,Puneri Paltan,0,0,0,0,2,20,1,0,0,18,18,0,1,20,17,4,47.0,6,16,38,21,0.06,83.33,1.25,0,,,0,,1,1,20,0,0,1.31,21
Sachin,Tamil Thalaivas,0,0,0,0,0,0,12,0,4,0,0,0,8,2,32,9,0.0,31,9,2,12,1.33,61.29,0.0,0,,,0,,12,10,0,0,0,1.33,12
Priyank Chandel,Gujarat Giants,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,25.0,0,3,4,1,0.0,0.0,0.33,0,,,0,,0,0,1,0,0,0.33,1
